Age Group,Gender,Education,Income,Preferred Category (Pew12),Listening Frequency
18–29,Male,High school or less,"30K–79,999",Comedy,Less often
18–29,Male,Some college,<30K,Politics & Government,A few times a week
18–29,Male,College+,<30K,Politics & Government,Nearly every day
30–49,Male,Some college,80K+,Religion & Spirituality,A few times a month
30–49,Male,High school or less,"30K–79,999",History,A few times a month
30–49,Male,College+,<30K,Politics & Government,Nearly every day
30–49,Female,College+,"30K–79,999",Religion & Spirituality,Less often
30–49,Male,Some college,80K+,Comedy,Less often
18–29,Male,College+,"30K–79,999",Entertainment / Pop Culture / Arts,Nearly every day
30–49,Male,College+,80K+,Religion & Spirituality,Less often
18–29,Male,High school or less,80K+,True Crime,A few times a month
18–29,Female,College+,80K+,Religion & Spirituality,A few times a week
30–49,Male,Some college,80K+,Religion & Spirituality,A few times a month
30–49,Female,College+,<30K,Sports,Nearly every day
18–29,Female,High school or less,80K+,Comedy,Nearly every day
30–49,Male,Some college,<30K,Religion & Spirituality,Less often
30–49,Female,Some college,80K+,Money & Finance,A few times a month
50–64,Female,Some college,<30K,Entertainment / Pop Culture / Arts,A few times a week
50–64,Male,College+,80K+,Sports,A few times a month
50–64,Male,College+,80K+,Science & Technology,Less often
18–29,Female,High school or less,<30K,Health & Fitness,A few times a month
50–64,Female,Some college,80K+,True Crime,Less often
30–49,Male,Some college,<30K,History,Less often
30–49,Female,Some college,"30K–79,999",Entertainment / Pop Culture / Arts,A few times a week
30–49,Male,Some college,"30K–79,999",Sports,Once a month
30–49,Female,College+,"30K–79,999",True Crime,A few times a month
30–49,Male,College+,"30K–79,999",Comedy,Less often
50–64,Male,High school or less,80K+,Comedy,A few times a week
65+,Female,Some college,"30K–79,999",Religion & Spirituality,Nearly every day
65+,Female,College+,"30K–79,999",Entertainment / Pop Culture / Arts,Nearly every day
30–49,Female,Some college,80K+,True Crime,A few times a month
30–49,Male,High school or less,80K+,Self-Help & Relationships,Less often
50–64,Male,Some college,<30K,Politics & Government,Less often
18–29,Female,Some college,80K+,True Crime,A few times a month
50–64,Female,High school or less,<30K,Politics & Government,Nearly every day
30–49,Female,College+,"30K–79,999",Sports,Nearly every day
18–29,Female,Some college,"30K–79,999",Health & Fitness,Less often
18–29,Male,College+,80K+,Politics & Government,A few times a month
50–64,Male,Some college,<30K,True Crime,Less often
18–29,Male,College+,<30K,History,Nearly every day
18–29,Male,High school or less,80K+,Sports,A few times a week
18–29,Male,High school or less,<30K,Science & Technology,Less often
18–29,Female,Some college,"30K–79,999",True Crime,Nearly every day
18–29,Male,Some college,80K+,Sports,Nearly every day
50–64,Male,Some college,80K+,Entertainment / Pop Culture / Arts,A few times a month
18–29,Female,College+,<30K,True Crime,A few times a month
50–64,Male,High school or less,"30K–79,999",Comedy,Less often
65+,Male,High school or less,80K+,Self-Help & Relationships,Less often
30–49,Female,Some college,"30K–79,999",Science & Technology,Once a month
18–29,Male,College+,<30K,Race & Ethnicity,Nearly every day
30–49,Female,College+,<30K,Science & Technology,A few times a month
18–29,Female,College+,"30K–79,999",Entertainment / Pop Culture / Arts,Less often
30–49,Male,Some college,80K+,Religion & Spirituality,A few times a month
65+,Female,College+,"30K–79,999",Religion & Spirituality,Less often
65+,Female,College+,<30K,Money & Finance,A few times a month
50–64,Female,High school or less,"30K–79,999",Money & Finance,Nearly every day
18–29,Female,Some college,<30K,Politics & Government,A few times a month
50–64,Female,College+,<30K,Self-Help & Relationships,Once a month
50–64,Female,Some college,80K+,Comedy,Nearly every day
30–49,Female,College+,80K+,Entertainment / Pop Culture / Arts,A few times a week
30–49,Male,Some college,<30K,Sports,Once a month
18–29,Female,Some college,"30K–79,999",Money & Finance,Nearly every day
18–29,Female,High school or less,<30K,Politics & Government,A few times a week
30–49,Female,College+,<30K,Comedy,Once a month
18–29,Male,College+,"30K–79,999",Sports,Less often
18–29,Male,High school or less,"30K–79,999",Comedy,A few times a month
50–64,Male,Some college,80K+,Politics & Government,Less often
65+,Male,High school or less,80K+,Entertainment / Pop Culture / Arts,Less often
30–49,Male,High school or less,<30K,Comedy,A few times a month
50–64,Male,College+,80K+,Politics & Government,Nearly every day
65+,Male,Some college,"30K–79,999",Race & Ethnicity,Less often
18–29,Female,Some college,<30K,Science & Technology,A few times a week
30–49,Male,Some college,80K+,History,Less often
30–49,Female,College+,<30K,Money & Finance,A few times a month
18–29,Male,Some college,"30K–79,999",True Crime,A few times a week
50–64,Male,College+,80K+,Money & Finance,A few times a month
30–49,Male,Some college,<30K,Self-Help & Relationships,A few times a month
30–49,Female,High school or less,80K+,True Crime,Less often
18–29,Male,College+,<30K,Self-Help & Relationships,A few times a week
18–29,Female,High school or less,80K+,Religion & Spirituality,Less often
65+,Female,College+,<30K,Money & Finance,Nearly every day
18–29,Male,Some college,<30K,Religion & Spirituality,Less often
18–29,Female,College+,"30K–79,999",Entertainment / Pop Culture / Arts,Less often
18–29,Male,College+,80K+,Self-Help & Relationships,A few times a week
30–49,Male,College+,<30K,Money & Finance,Nearly every day
30–49,Male,High school or less,80K+,Politics & Government,Less often
30–49,Male,College+,<30K,Health & Fitness,Less often
18–29,Female,College+,"30K–79,999",Politics & Government,A few times a week
18–29,Female,High school or less,"30K–79,999",Politics & Government,A few times a month
50–64,Female,Some college,<30K,Health & Fitness,Less often
30–49,Male,College+,80K+,Politics & Government,Nearly every day
50–64,Female,High school or less,"30K–79,999",Science & Technology,A few times a month
50–64,Male,College+,80K+,Science & Technology,A few times a month
50–64,Male,College+,"30K–79,999",Health & Fitness,Nearly every day
18–29,Male,High school or less,"30K–79,999",History,Less often
30–49,Female,Some college,80K+,Money & Finance,A few times a week
30–49,Female,Some college,80K+,Religion & Spirituality,Less often
18–29,Male,Some college,80K+,Self-Help & Relationships,A few times a month
50–64,Female,College+,"30K–79,999",Sports,A few times a month
30–49,Female,High school or less,80K+,Religion & Spirituality,A few times a month
50–64,Female,Some college,80K+,Science & Technology,A few times a week
50–64,Female,College+,"30K–79,999",Sports,Less often
30–49,Female,High school or less,80K+,History,Once a month
65+,Female,College+,"30K–79,999",Comedy,Less often
30–49,Female,High school or less,80K+,Politics & Government,A few times a month
50–64,Male,Some college,80K+,Self-Help & Relationships,A few times a week
18–29,Female,High school or less,80K+,Entertainment / Pop Culture / Arts,Nearly every day
30–49,Male,College+,80K+,True Crime,Less often
30–49,Female,College+,80K+,Science & Technology,A few times a week
18–29,Male,College+,80K+,True Crime,A few times a month
30–49,Male,College+,<30K,Comedy,A few times a month
65+,Male,College+,"30K–79,999",Health & Fitness,A few times a month
30–49,Male,College+,<30K,Science & Technology,Once a month
18–29,Male,Some college,<30K,Entertainment / Pop Culture / Arts,A few times a month
18–29,Male,College+,80K+,History,Less often
18–29,Male,College+,80K+,History,Nearly every day
18–29,Male,College+,"30K–79,999",Self-Help & Relationships,A few times a month
65+,Female,High school or less,<30K,History,Nearly every day
30–49,Female,Some college,80K+,Comedy,Less often
18–29,Female,College+,"30K–79,999",Health & Fitness,A few times a month
30–49,Male,High school or less,80K+,History,A few times a month
18–29,Male,High school or less,80K+,Comedy,Less often
18–29,Female,College+,"30K–79,999",Religion & Spirituality,A few times a month
50–64,Male,Some college,<30K,Self-Help & Relationships,A few times a week
30–49,Male,High school or less,<30K,Self-Help & Relationships,A few times a month
65+,Female,Some college,<30K,Science & Technology,Nearly every day
30–49,Female,Some college,"30K–79,999",Science & Technology,Less often
30–49,Male,College+,<30K,True Crime,Once a month
50–64,Female,College+,<30K,Comedy,Less often
65+,Male,College+,<30K,Politics & Government,Less often
50–64,Female,College+,<30K,Race & Ethnicity,Less often
65+,Male,College+,80K+,Self-Help & Relationships,A few times a month
50–64,Male,Some college,<30K,Science & Technology,Nearly every day
65+,Female,College+,80K+,Entertainment / Pop Culture / Arts,A few times a week
18–29,Male,High school or less,<30K,Money & Finance,Less often
50–64,Female,High school or less,<30K,Politics & Government,Less often
30–49,Male,College+,<30K,Entertainment / Pop Culture / Arts,Less often
30–49,Female,College+,80K+,Entertainment / Pop Culture / Arts,A few times a week
50–64,Female,Some college,<30K,Money & Finance,Nearly every day
65+,Male,College+,"30K–79,999",Self-Help & Relationships,Less often
65+,Female,Some college,<30K,Comedy,Nearly every day
18–29,Male,Some college,80K+,Comedy,A few times a month
50–64,Male,Some college,<30K,Self-Help & Relationships,A few times a week
50–64,Male,High school or less,"30K–79,999",True Crime,A few times a week
30–49,Female,Some college,80K+,Self-Help & Relationships,Once a month
18–29,Female,Some college,<30K,Entertainment / Pop Culture / Arts,Less often
18–29,Female,Some college,<30K,Money & Finance,Less often
50–64,Female,High school or less,80K+,Sports,A few times a month
30–49,Female,College+,<30K,True Crime,A few times a month
65+,Male,College+,<30K,Entertainment / Pop Culture / Arts,Less often
30–49,Female,College+,"30K–79,999",Self-Help & Relationships,A few times a month
65+,Female,High school or less,<30K,Science & Technology,A few times a month
30–49,Male,College+,80K+,Comedy,Once a month
50–64,Female,College+,80K+,Politics & Government,A few times a week
18–29,Male,Some college,"30K–79,999",Health & Fitness,Nearly every day
30–49,Male,High school or less,<30K,Science & Technology,Less often
50–64,Male,Some college,80K+,Health & Fitness,A few times a month
65+,Male,Some college,80K+,History,Nearly every day
50–64,Male,Some college,<30K,History,A few times a week
18–29,Female,Some college,80K+,Comedy,Less often
30–49,Female,Some college,"30K–79,999",Self-Help & Relationships,A few times a month
18–29,Male,College+,80K+,Comedy,A few times a month
18–29,Male,High school or less,<30K,History,Nearly every day
50–64,Male,Some college,<30K,Politics & Government,Less often
50–64,Male,College+,80K+,Science & Technology,Less often
50–64,Female,High school or less,80K+,True Crime,A few times a month
65+,Male,High school or less,"30K–79,999",Comedy,A few times a week
50–64,Female,High school or less,<30K,Politics & Government,Once a month
50–64,Female,High school or less,80K+,Race & Ethnicity,Less often
18–29,Female,Some college,<30K,Comedy,Less often
18–29,Female,High school or less,"30K–79,999",Politics & Government,Less often
30–49,Male,Some college,80K+,Politics & Government,A few times a month
65+,Female,College+,<30K,Science & Technology,A few times a week
18–29,Female,College+,<30K,Self-Help & Relationships,A few times a month
30–49,Female,High school or less,<30K,Politics & Government,Less often
50–64,Female,Some college,80K+,History,A few times a week
18–29,Female,Some college,"30K–79,999",Self-Help & Relationships,A few times a week
30–49,Female,College+,80K+,Politics & Government,Once a month
65+,Male,College+,80K+,Sports,A few times a month
50–64,Female,High school or less,80K+,Race & Ethnicity,Less often
18–29,Female,High school or less,"30K–79,999",Entertainment / Pop Culture / Arts,Nearly every day
50–64,Male,Some college,"30K–79,999",Science & Technology,A few times a week
30–49,Female,College+,"30K–79,999",Entertainment / Pop Culture / Arts,A few times a week
50–64,Male,College+,"30K–79,999",Entertainment / Pop Culture / Arts,Once a month
18–29,Female,High school or less,80K+,History,Less often
30–49,Male,Some college,80K+,True Crime,A few times a month
30–49,Male,High school or less,"30K–79,999",Science & Technology,A few times a month
18–29,Female,College+,"30K–79,999",Politics & Government,Nearly every day
65+,Male,College+,80K+,Politics & Government,Once a month
18–29,Male,Some college,<30K,Race & Ethnicity,Less often
18–29,Male,High school or less,80K+,Sports,Less often
18–29,Male,Some college,<30K,Comedy,A few times a week
50–64,Female,Some college,80K+,Self-Help & Relationships,A few times a month
50–64,Female,College+,80K+,History,A few times a week
65+,Male,Some college,"30K–79,999",Self-Help & Relationships,Nearly every day
18–29,Female,College+,<30K,True Crime,Nearly every day
30–49,Male,Some college,80K+,Health & Fitness,Nearly every day
18–29,Female,High school or less,"30K–79,999",Comedy,Nearly every day
30–49,Male,Some college,"30K–79,999",Science & Technology,Less often
65+,Male,High school or less,"30K–79,999",Race & Ethnicity,A few times a week
50–64,Male,Some college,"30K–79,999",Entertainment / Pop Culture / Arts,Less often
30–49,Female,College+,80K+,Entertainment / Pop Culture / Arts,Less often
30–49,Male,High school or less,<30K,Money & Finance,A few times a month
65+,Male,High school or less,"30K–79,999",Religion & Spirituality,A few times a month
30–49,Female,High school or less,80K+,Self-Help & Relationships,Once a month
18–29,Female,High school or less,<30K,Religion & Spirituality,Nearly every day
30–49,Male,College+,"30K–79,999",Money & Finance,A few times a month
18–29,Female,College+,80K+,Entertainment / Pop Culture / Arts,A few times a month
18–29,Female,High school or less,80K+,True Crime,Less often
18–29,Male,College+,"30K–79,999",Religion & Spirituality,Less often
30–49,Female,College+,80K+,Health & Fitness,Less often
30–49,Male,College+,<30K,Politics & Government,Once a month
18–29,Female,Some college,"30K–79,999",Entertainment / Pop Culture / Arts,A few times a month
30–49,Male,Some college,80K+,Religion & Spirituality,Less often
65+,Female,Some college,80K+,Politics & Government,Less often
50–64,Male,College+,"30K–79,999",Comedy,A few times a month
30–49,Male,College+,"30K–79,999",Religion & Spirituality,Less often
18–29,Female,Some college,"30K–79,999",History,Less often
65+,Male,High school or less,<30K,Politics & Government,A few times a month
18–29,Female,College+,80K+,Comedy,Nearly every day
18–29,Female,College+,80K+,Comedy,A few times a week
65+,Female,Some college,"30K–79,999",Religion & Spirituality,Less often
30–49,Male,College+,<30K,History,Nearly every day
50–64,Female,Some college,"30K–79,999",Entertainment / Pop Culture / Arts,A few times a month
30–49,Male,Some college,<30K,Science & Technology,A few times a month
50–64,Male,Some college,80K+,Entertainment / Pop Culture / Arts,Less often
18–29,Female,College+,"30K–79,999",Comedy,Less often
18–29,Female,College+,<30K,Politics & Government,Less often
18–29,Female,Some college,80K+,True Crime,A few times a week
18–29,Male,Some college,80K+,Entertainment / Pop Culture / Arts,Nearly every day
65+,Female,Some college,<30K,Science & Technology,Once a month
18–29,Female,High school or less,"30K–79,999",History,Nearly every day
30–49,Male,Some college,"30K–79,999",Science & Technology,A few times a month
50–64,Female,High school or less,<30K,Entertainment / Pop Culture / Arts,Less often
50–64,Male,Some college,"30K–79,999",Comedy,A few times a month
30–49,Male,High school or less,80K+,Comedy,A few times a month
30–49,Female,Some college,<30K,Science & Technology,Once a month
65+,Female,College+,<30K,Money & Finance,Less often
50–64,Male,High school or less,80K+,Entertainment / Pop Culture / Arts,A few times a month
50–64,Male,College+,"30K–79,999",Religion & Spirituality,A few times a month
65+,Male,College+,80K+,Money & Finance,Nearly every day
50–64,Female,Some college,80K+,Comedy,A few times a month
18–29,Male,High school or less,80K+,Comedy,A few times a week
30–49,Male,Some college,80K+,Entertainment / Pop Culture / Arts,A few times a month
18–29,Female,College+,80K+,Comedy,Less often
50–64,Male,Some college,80K+,True Crime,Nearly every day
65+,Female,High school or less,"30K–79,999",Comedy,A few times a month
30–49,Male,Some college,"30K–79,999",Religion & Spirituality,Nearly every day
30–49,Female,Some college,"30K–79,999",History,A few times a week
18–29,Male,Some college,"30K–79,999",Money & Finance,Nearly every day
65+,Male,College+,<30K,Money & Finance,Nearly every day
18–29,Male,High school or less,"30K–79,999",History,Less often
18–29,Female,Some college,"30K–79,999",Sports,Less often
18–29,Female,College+,<30K,Race & Ethnicity,Once a month
18–29,Male,Some college,<30K,Science & Technology,A few times a month
30–49,Male,College+,80K+,Entertainment / Pop Culture / Arts,Less often
30–49,Female,Some college,"30K–79,999",Science & Technology,Less often
18–29,Male,Some college,80K+,Entertainment / Pop Culture / Arts,A few times a month
18–29,Male,College+,"30K–79,999",True Crime,Nearly every day
18–29,Female,Some college,80K+,Science & Technology,Once a month
30–49,Male,High school or less,80K+,History,Less often
18–29,Male,College+,<30K,Money & Finance,A few times a week
50–64,Male,College+,80K+,Politics & Government,A few times a month
18–29,Male,College+,<30K,True Crime,A few times a week
18–29,Female,High school or less,"30K–79,999",Science & Technology,A few times a week
30–49,Female,High school or less,80K+,Religion & Spirituality,Once a month
30–49,Female,College+,"30K–79,999",Self-Help & Relationships,A few times a week
18–29,Male,High school or less,"30K–79,999",Comedy,Less often
18–29,Female,High school or less,"30K–79,999",Self-Help & Relationships,Less often
65+,Male,College+,<30K,Entertainment / Pop Culture / Arts,Nearly every day
18–29,Female,Some college,<30K,Money & Finance,Less often
30–49,Male,High school or less,<30K,True Crime,Less often
30–49,Female,High school or less,<30K,Science & Technology,A few times a month
18–29,Male,Some college,80K+,Money & Finance,A few times a month
30–49,Male,College+,"30K–79,999",Health & Fitness,Less often
50–64,Male,College+,"30K–79,999",Religion & Spirituality,A few times a month
50–64,Male,High school or less,80K+,True Crime,Nearly every day
18–29,Male,High school or less,<30K,Money & Finance,A few times a week
18–29,Female,Some college,<30K,Science & Technology,A few times a week
18–29,Female,Some college,80K+,Religion & Spirituality,Once a month
30–49,Male,Some college,80K+,Religion & Spirituality,Nearly every day
50–64,Female,College+,"30K–79,999",Entertainment / Pop Culture / Arts,A few times a month
18–29,Female,Some college,<30K,Politics & Government,A few times a month
18–29,Female,Some college,80K+,Politics & Government,Less often
65+,Female,College+,80K+,Entertainment / Pop Culture / Arts,A few times a month
18–29,Female,High school or less,"30K–79,999",Science & Technology,Less often
30–49,Male,College+,<30K,Entertainment / Pop Culture / Arts,Less often
50–64,Female,Some college,<30K,True Crime,Nearly every day
18–29,Female,Some college,"30K–79,999",Comedy,Once a month
18–29,Male,College+,80K+,Politics & Government,A few times a week
18–29,Male,Some college,80K+,Self-Help & Relationships,Less often
65+,Male,Some college,"30K–79,999",Science & Technology,A few times a month
18–29,Female,Some college,80K+,Science & Technology,A few times a week
18–29,Male,College+,80K+,Religion & Spirituality,A few times a week
18–29,Female,Some college,"30K–79,999",Race & Ethnicity,A few times a month
18–29,Female,High school or less,80K+,True Crime,Less often
30–49,Female,College+,"30K–79,999",Comedy,Less often
18–29,Male,College+,"30K–79,999",Comedy,Nearly every day
30–49,Female,Some college,"30K–79,999",Race & Ethnicity,A few times a week
30–49,Female,High school or less,"30K–79,999",Self-Help & Relationships,A few times a month
50–64,Male,Some college,80K+,Money & Finance,A few times a month
18–29,Female,High school or less,"30K–79,999",Self-Help & Relationships,Nearly every day
50–64,Male,High school or less,"30K–79,999",Entertainment / Pop Culture / Arts,A few times a week
30–49,Female,Some college,"30K–79,999",History,Less often
18–29,Male,High school or less,"30K–79,999",Religion & Spirituality,A few times a month
50–64,Male,Some college,"30K–79,999",Health & Fitness,Once a month
50–64,Male,College+,80K+,Politics & Government,A few times a month
18–29,Male,Some college,"30K–79,999",True Crime,A few times a month
65+,Male,College+,"30K–79,999",Entertainment / Pop Culture / Arts,A few times a month
30–49,Female,College+,80K+,Sports,A few times a week
30–49,Male,College+,<30K,Politics & Government,A few times a week
65+,Male,College+,80K+,Money & Finance,Less often
30–49,Female,College+,"30K–79,999",Politics & Government,Less often
50–64,Female,Some college,"30K–79,999",Self-Help & Relationships,Once a month
18–29,Female,College+,80K+,Self-Help & Relationships,Nearly every day
50–64,Female,High school or less,80K+,Politics & Government,Nearly every day
30–49,Male,College+,80K+,Religion & Spirituality,Nearly every day
18–29,Female,Some college,"30K–79,999",Health & Fitness,Less often
30–49,Male,High school or less,"30K–79,999",Health & Fitness,Less often
18–29,Female,Some college,80K+,Politics & Government,A few times a month
18–29,Female,College+,"30K–79,999",Money & Finance,Less often
18–29,Female,Some college,80K+,True Crime,Nearly every day
30–49,Female,High school or less,"30K–79,999",True Crime,A few times a month
18–29,Female,High school or less,80K+,History,Nearly every day
18–29,Male,Some college,<30K,True Crime,A few times a week
50–64,Female,College+,"30K–79,999",Entertainment / Pop Culture / Arts,Less often
50–64,Female,College+,<30K,Science & Technology,Less often
50–64,Female,Some college,"30K–79,999",Entertainment / Pop Culture / Arts,Nearly every day
18–29,Male,High school or less,80K+,Politics & Government,A few times a week
65+,Male,High school or less,"30K–79,999",Entertainment / Pop Culture / Arts,A few times a month
30–49,Female,Some college,"30K–79,999",Entertainment / Pop Culture / Arts,Nearly every day
18–29,Male,College+,80K+,Religion & Spirituality,A few times a month
18–29,Male,College+,80K+,True Crime,A few times a month
50–64,Male,Some college,"30K–79,999",Comedy,A few times a week
18–29,Female,College+,80K+,Religion & Spirituality,A few times a week
30–49,Male,Some college,"30K–79,999",Sports,A few times a week
65+,Male,Some college,80K+,Health & Fitness,Less often
18–29,Male,Some college,<30K,Religion & Spirituality,A few times a week
18–29,Female,College+,<30K,Race & Ethnicity,A few times a month
65+,Female,Some college,"30K–79,999",True Crime,A few times a week
30–49,Male,College+,<30K,Sports,Once a month
18–29,Male,Some college,"30K–79,999",Sports,Nearly every day
65+,Female,High school or less,<30K,Politics & Government,Nearly every day
65+,Male,High school or less,80K+,Health & Fitness,Once a month
30–49,Female,Some college,<30K,Religion & Spirituality,Once a month
30–49,Male,Some college,<30K,Religion & Spirituality,A few times a week
18–29,Female,Some college,80K+,Health & Fitness,A few times a week
18–29,Male,College+,80K+,Science & Technology,Less often
30–49,Female,Some college,80K+,Science & Technology,Nearly every day
18–29,Male,College+,"30K–79,999",Self-Help & Relationships,Nearly every day
50–64,Female,College+,<30K,Money & Finance,A few times a month
50–64,Female,Some college,"30K–79,999",Health & Fitness,A few times a week
18–29,Female,Some college,"30K–79,999",Health & Fitness,A few times a month
30–49,Male,High school or less,<30K,Money & Finance,Once a month
18–29,Male,Some college,80K+,Sports,A few times a month
65+,Female,College+,80K+,Entertainment / Pop Culture / Arts,A few times a month
18–29,Female,College+,80K+,Sports,A few times a month
30–49,Male,College+,"30K–79,999",Comedy,Less often
30–49,Male,Some college,80K+,True Crime,Nearly every day
30–49,Male,College+,<30K,Comedy,A few times a week
50–64,Female,College+,80K+,True Crime,Once a month
50–64,Female,Some college,"30K–79,999",Science & Technology,A few times a week
30–49,Female,College+,<30K,Comedy,Nearly every day
50–64,Female,High school or less,<30K,Self-Help & Relationships,A few times a week
65+,Male,High school or less,80K+,Money & Finance,Once a month
30–49,Male,High school or less,80K+,Entertainment / Pop Culture / Arts,Nearly every day
30–49,Male,High school or less,80K+,Money & Finance,Once a month
18–29,Female,College+,80K+,Entertainment / Pop Culture / Arts,Less often
50–64,Male,Some college,80K+,Entertainment / Pop Culture / Arts,A few times a month
30–49,Male,Some college,80K+,Entertainment / Pop Culture / Arts,A few times a week
30–49,Male,Some college,"30K–79,999",True Crime,Less often
18–29,Male,Some college,"30K–79,999",Religion & Spirituality,A few times a week
65+,Female,Some college,<30K,True Crime,Less often
30–49,Male,High school or less,<30K,Religion & Spirituality,Once a month
50–64,Male,College+,"30K–79,999",True Crime,Nearly every day
18–29,Female,High school or less,<30K,Religion & Spirituality,Less often
65+,Male,College+,80K+,Race & Ethnicity,A few times a month
18–29,Male,High school or less,80K+,Science & Technology,A few times a month
18–29,Male,College+,"30K–79,999",Entertainment / Pop Culture / Arts,A few times a month
65+,Female,College+,80K+,Entertainment / Pop Culture / Arts,A few times a month
65+,Male,High school or less,"30K–79,999",True Crime,Once a month
18–29,Female,High school or less,<30K,True Crime,Less often
30–49,Female,College+,"30K–79,999",Entertainment / Pop Culture / Arts,A few times a week
50–64,Female,Some college,<30K,Health & Fitness,A few times a month
65+,Male,College+,"30K–79,999",Sports,Once a month
30–49,Female,High school or less,<30K,Politics & Government,Once a month
30–49,Male,Some college,<30K,Entertainment / Pop Culture / Arts,A few times a month
50–64,Male,Some college,<30K,Entertainment / Pop Culture / Arts,A few times a week
50–64,Male,College+,80K+,Science & Technology,Less often
50–64,Male,Some college,<30K,Health & Fitness,A few times a week
30–49,Male,College+,"30K–79,999",True Crime,A few times a week
18–29,Male,College+,"30K–79,999",Comedy,A few times a month
65+,Male,High school or less,"30K–79,999",History,A few times a week
65+,Male,Some college,"30K–79,999",Comedy,Nearly every day
50–64,Female,High school or less,<30K,Science & Technology,Nearly every day
18–29,Female,Some college,80K+,Science & Technology,Once a month
18–29,Male,College+,"30K–79,999",Self-Help & Relationships,Less often
50–64,Female,Some college,80K+,True Crime,A few times a month
18–29,Male,High school or less,"30K–79,999",Health & Fitness,Nearly every day
65+,Male,College+,"30K–79,999",Comedy,Less often
30–49,Male,College+,"30K–79,999",Religion & Spirituality,A few times a week
50–64,Male,Some college,<30K,Comedy,Less often
65+,Male,Some college,"30K–79,999",Politics & Government,A few times a month
30–49,Male,High school or less,<30K,Health & Fitness,A few times a week
18–29,Male,College+,"30K–79,999",Self-Help & Relationships,A few times a month
30–49,Female,Some college,80K+,Entertainment / Pop Culture / Arts,A few times a week
30–49,Male,Some college,<30K,History,Less often
30–49,Male,High school or less,<30K,Money & Finance,Nearly every day
30–49,Male,College+,80K+,Sports,Less often
65+,Female,College+,"30K–79,999",Self-Help & Relationships,Less often
30–49,Male,Some college,80K+,Comedy,Less often
18–29,Female,College+,80K+,History,Less often
30–49,Male,College+,80K+,Entertainment / Pop Culture / Arts,A few times a week
30–49,Male,High school or less,"30K–79,999",Comedy,A few times a month
18–29,Female,College+,<30K,True Crime,Less often
18–29,Male,Some college,80K+,Religion & Spirituality,A few times a week
50–64,Male,College+,80K+,Comedy,Nearly every day
18–29,Male,High school or less,80K+,Religion & Spirituality,A few times a week
65+,Female,Some college,"30K–79,999",Money & Finance,A few times a week
18–29,Female,Some college,<30K,Money & Finance,Less often
18–29,Female,Some college,<30K,Politics & Government,A few times a month
50–64,Female,College+,<30K,Science & Technology,Once a month
65+,Male,Some college,<30K,Entertainment / Pop Culture / Arts,Less often
18–29,Female,High school or less,80K+,Politics & Government,A few times a week
18–29,Male,Some college,<30K,Politics & Government,Less often
18–29,Female,College+,80K+,Politics & Government,Nearly every day
30–49,Male,College+,80K+,Entertainment / Pop Culture / Arts,Nearly every day
30–49,Male,Some college,"30K–79,999",Entertainment / Pop Culture / Arts,Nearly every day
18–29,Female,Some college,"30K–79,999",Health & Fitness,A few times a week
18–29,Male,High school or less,80K+,Religion & Spirituality,A few times a week
30–49,Female,College+,"30K–79,999",Science & Technology,A few times a month
65+,Male,College+,"30K–79,999",Sports,A few times a week
50–64,Female,Some college,80K+,Politics & Government,Nearly every day
30–49,Female,College+,80K+,Science & Technology,Once a month
18–29,Male,High school or less,80K+,Religion & Spirituality,Nearly every day
18–29,Female,College+,80K+,History,Less often
18–29,Female,High school or less,"30K–79,999",Politics & Government,Less often
50–64,Female,High school or less,80K+,Science & Technology,Once a month
65+,Male,Some college,80K+,History,A few times a month
65+,Female,Some college,80K+,Self-Help & Relationships,A few times a month
65+,Female,College+,80K+,Science & Technology,A few times a month
65+,Male,Some college,80K+,History,Less often
65+,Male,College+,80K+,Politics & Government,Less often
18–29,Male,College+,"30K–79,999",True Crime,A few times a month
18–29,Female,College+,80K+,Entertainment / Pop Culture / Arts,A few times a month
18–29,Male,College+,<30K,Health & Fitness,Less often
30–49,Female,Some college,"30K–79,999",Money & Finance,Nearly every day
18–29,Female,Some college,80K+,Science & Technology,A few times a month
50–64,Male,High school or less,80K+,Money & Finance,A few times a month
30–49,Male,Some college,"30K–79,999",Comedy,Once a month
30–49,Female,College+,"30K–79,999",Science & Technology,A few times a week
18–29,Male,Some college,"30K–79,999",History,A few times a week
18–29,Female,Some college,<30K,History,Nearly every day
18–29,Female,High school or less,<30K,Money & Finance,A few times a month
50–64,Female,Some college,80K+,Sports,Less often
30–49,Male,College+,"30K–79,999",Science & Technology,Less often
50–64,Female,Some college,80K+,Science & Technology,A few times a week
18–29,Female,College+,<30K,True Crime,A few times a week
30–49,Male,College+,80K+,Politics & Government,Less often
30–49,Female,College+,"30K–79,999",Entertainment / Pop Culture / Arts,Once a month
50–64,Female,Some college,80K+,Sports,A few times a month
50–64,Female,College+,80K+,Religion & Spirituality,A few times a week
18–29,Male,High school or less,80K+,Sports,Nearly every day
65+,Male,Some college,80K+,Entertainment / Pop Culture / Arts,Less often
18–29,Male,College+,"30K–79,999",Comedy,A few times a month
65+,Male,College+,<30K,History,A few times a week
18–29,Male,High school or less,<30K,Sports,Less often
18–29,Female,College+,80K+,Entertainment / Pop Culture / Arts,A few times a month
50–64,Male,High school or less,"30K–79,999",Entertainment / Pop Culture / Arts,Less often
18–29,Female,College+,"30K–79,999",Comedy,A few times a month
30–49,Male,College+,"30K–79,999",Money & Finance,A few times a month
